a,"
'''a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
cinmo,"
'''cinmo''' — ''x<sub>1</sub><sub>(entity)</sub>''  feels emotion  ''x<sub>2</sub><sub>(property of x1)</sub>''  about  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cinmo''' — emotional (live being). '''lo se cinmo''' — emotion, feeling (impression). 
:'''mi cinmo lo ka gleki vau lo nu mi'o simxu tavla bau la Lojban''' — ''I feel happy that we talk in Lojban.''
:Related words: '''cumla''', '''jilra''', '''nelci''', '''xendo''', '''ckeji''', '''cortu''', '''jgira''', '''kecti''', '''kufra''', '''marvele''', '''prami''', '''steba''', '''zungi''', '''badri''', '''burna''', '''gleki'''"
cinri,"
'''cinri''' — ''x<sub>1</sub><sub>(clause)</sub>''  interests observer  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cinri''' — interesting. '''lo se cinri''' — interested. 
:'''ma se cinri lo nu ca ma kau ra co'a speni''' — ''Who cares when she gets married?''
:'''mi se cinri lo nu xu kau ei mi cusku fi la Alis fe lo se du'u mi pu zi zukte ma kau''' — ''I wonder if I should tell Alice what I just did.''
:Related words: '''zdile''', '''kucli''', '''marvele''', '''kurji'''"
cinta,"
'''cinta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some paint of substance  ''x<sub>2</sub><sub>(entity)</sub>''  in a base of  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cinta''' — paint (coloring substance). '''lo se cinta''' — pigment of a paint. '''lo te cinta''' — paint base. 
:'''mi pu punji lo cinta be lo kliti bei lo sovda le bitmu''' — ''I put an oil paint (with clay as a pigment) on to the wall.''
:Comment: '''lo''' '''te''' '''cinta''' (paint base) is the part of the paint that is not a '''lo''' '''se''' '''cinta''' (pigment).
:Related words: '''pixra''', '''skari'''"
cintura,"
'''cintura''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a waist of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cintura''' — waist (of body). 
:'''lo cintura be do cu klani ma lo ka clani''' — ''What is the length of your waist?''
:Related words: '''xadni''', '''cutne''', '''midju''', '''cinla''', '''rotsu'''"
cinza,"
'''cinza''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a pincer, pair of chopsticks, tongs, pliers for doing  ''x<sub>2</sub><sub>(property of x3)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cinza''' — tongs. 
:'''ko jgari lo cinza be lo nu jukpa bei lo glare''' — ''Take chopsticks for cooking hot food.''
:Related words: '''tutci'''"
cipni,"
'''cipni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bird of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cipni''' — bird. 
:'''lo pa cipni ca'o vofli''' — ''The bird is flying.''
:Related words: '''datka''', '''gunse''', '''jipci''', '''nalci''', '''pimlu''', '''vofli''', '''xruki''', '''danlu'''"
cipra,"
'''cipra''' — ''x<sub>1</sub><sub>(clause)</sub>''  is a test, act of examination, study of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cipra''' — study, test (act of examination). '''lo se cipra''' — tested. 
:'''lo nu catlu lo kanla be do cu cipra lo nu do xo kau va'e stace''' — ''To look into your eyes is a test of your sincerity.''
:'''mi pu gasnu lo cipra be tu'a le karce''' — ''I tested the car.''
:'''ba zi ku mi jai se cipra''' — ''I will have a test soon.''
:Related words: '''ciksi''', '''troci''', '''jarco''', '''pajni''', '''saske'''"
cirko,"
'''cirko''' — ''x<sub>1</sub><sub>(entity)</sub>''  loses  ''x<sub>2</sub><sub>(property of x1)</sub>''  at  ''x<sub>3</sub><sub>(entity, property of x1)</sub>'' 
:'''lo cirko''' — loser. '''lo se cirko''' — lost, not in possesion. 
:'''mi cirko lo ka kakne lo ka sazri lo xirma vau lo ka xabju lo tcadu''' — ''I lost my ability to ride a horse while living in the city.''
:Related words: '''facki''', '''ralte''', '''sisku''', '''claxu''', '''jinga''', '''pleji''', '''canja''', '''sfasa''', '''dapma''', '''binra''', '''mipri'''"
cirkulo,"
'''cirkulo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a circle
:'''lo cirkulo''' — circle. 
:'''mi pu ciska lo cirkulo''' — ''I drew a circle.''
:Related words: '''cukla''', '''djine'''"
cirla,"
'''cirla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some cheese
:'''lo cirla''' — cheese. 
:'''xu do djica tu'a lo cirla''' — ''Would you like cheese?''
:Related words: '''ladru'''"
ciska,"
'''ciska''' — ''x<sub>1</sub><sub>(entity)</sub>''  writes  ''x<sub>2</sub><sub>(text)</sub>''  on medium  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo ciska''' — writer. '''lo se ciska''' — written text. '''lo te ciska''' — writing medium. 
:'''mi ba ciska lu coi munje li'u lo pelji''' — ''I will write &quot;Hello, world!&quot; on the paper.''
:Comment: for 'author' or specific authorial works use '''finti'''.
:Related words: '''papri''', '''penbi''', '''pinsi''', '''tcidu''', '''xatra''', '''pixra''', '''prina''', '''finti''', '''barna''', '''pinka'''"
cisma,"
'''cisma''' — ''x<sub>1</sub><sub>(entity)</sub>''  smiles
:'''se ja'e ma do cisma''' — ''Why are you smiling?''
:Related words: '''xajmi''', '''cmila''', '''frumu'''"
ciste,"
'''ciste''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a system with structure  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo ciste''' — system. '''lo se ciste''' — structure of a system. 
:'''lo kibro cu ciste lo se tcana be lo skami poi se pi'o ce'u lo prenu cu jikca''' — ''The internet is a system with computer nodes, using which people communicate.''
:Related words: '''ci'e''', '''cmima''', '''girzu''', '''gunma''', '''stura''', '''tadji''', '''munje''', '''farvi''', '''ganzu''', '''judri''', '''julne''', '''klesi''', '''morna''', '''tcana'''"
citka,"
'''citka''' — ''x<sub>1</sub><sub>(entity)</sub>''  eats  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo citka''' — eater. '''lo se citka''' — eaten. 
:'''mi mo'u citka lo pa badna je lo re mango''' — ''I've eaten a banana and two mangoes.''
:Related words: '''cidja''', '''pinxe''', '''tunlo''', '''xagji''', '''xaksu''', '''batci''', '''gusta''', '''kabri'''"
citno,"
'''citno''' — ''x<sub>1</sub><sub>(entity)</sub>''  is young in that it has  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo citno''' — young. 
:'''le nixli cu citno lo ni lifri ma kau''' — ''The girl is young in how much she experienced.''
:Related words: '''laldo''', '''cnino''', '''slabu''', '''verba'''"
citri,"
'''citri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a history of  ''x<sub>2</sub><sub>(entity)</sub>''  according to  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo citri''' — history. '''lo se citri''' — having a history. 
:'''mi tadni lo citri be le kagni bei lo cnino lanli''' — ''I'm studying the history of the company according to new analysts.''
:Related words: '''muzga''', '''purci'''"
citsi,"
'''citsi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a season defined by  ''x<sub>2</sub><sub>(clause)</sub>''  of year  ''x<sub>3</sub><sub>(entity, number)</sub>'' 
:'''lo citsi''' — season. 
:'''ca citsi lo nu carvi vau lo pa no no mu moi''' — ''Now it's the season of rains of year 2005.''
:'''vi ku lo dunra cu citsi lo nu lenku''' — ''Here, winter is a cold season.''
:Related words: '''cedra''', '''crisa''', '''critu''', '''dunra''', '''ranji''', '''temci''', '''vensa''', '''jbena'''"
civla,"
'''civla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a flea or louse of species  ''x<sub>2</sub><sub>(taxon)</sub>''  parasitic on  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo civla''' — flea, louse. 
:'''xu lo civla be fi lo gerku cu ckape lo remna''' — ''Are dog louses dangerous to humans?''
:Related words: '''insekto''', '''cinki''', '''blato'''"
cizra,"
'''cizra''' — ''x<sub>1</sub><sub>(entity)</sub>''  is strange to  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo cizra''' — strange. 
:'''le valsi cu cizra mi lo ka se smuni''' — ''The word is strange to me in meaning.''
:'''cizra fa lo nu la Tom na zvati''' — ''It's strange that Tom is not present.''
:Related words: '''ranxi''', '''rirci''', '''fange''', '''banli'''"
ckabu,"
'''ckabu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some rubber
:'''lo ckabu''' — rubber. 
:'''lo bolci poi ckabu cu plipe ri'a lo ka pruni''' — ''A rubber ball jumps because it is elastic.''
:Related words: '''pruni'''"
ckafi,"
'''ckafi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some coffee
:'''lo ckafi''' — coffee. 
:'''do pinxe lo ckafi ji lo tcati''' — ''Will you drink coffee or tea?''
:Related words: '''tcati''', '''barja''', '''cakla'''"
ckaji,"
'''ckaji''' — ''x<sub>1</sub><sub>(entity)</sub>''  is characterized by  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo se ckaji''' — property. 
:'''le prenu na simlu gi'e ku'i ja'a ckaji lo ka ninmu''' — ''The person doesn't look like a woman but she is.''
:'''le ka masno bacru cu se ckaji le va nanmu''' — ''Slow speech is the characteristic of that man.''
:Related words: '''kai''', '''tcaci''', '''tcini'''"
ckana,"
'''ckana''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bed
:'''lo ckana''' — bed. 
:'''au mi vreta lo ckana''' — ''I want to lie down on the bed.''
:Related words: '''kamju''', '''kicne''', '''nilce''', '''palta''', '''cpana''', '''vreta''', '''jubme''', '''stizu''', '''matci''', '''zbepi''', '''palne''', '''sarji'''"
ckape,"
'''ckape''' — ''x<sub>1</sub><sub>(clause)</sub>''  is dangerous to  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo ckape''' — dangerous. '''lo se ckape''' — threatened. 
:'''ka'e ckape lo nu do kanro vau fa lo nu do zukte lo se stidi be la Kevin''' — ''It can be dangerous for your health to do what Kevin suggested.''
:'''do jai se ckape fai lo ka co'a bilma''' — ''You are at risk of getting ill.''
:Related words: '''te''' '''bandu''', '''te''' '''kajde''', '''te''' '''marbi''', '''se''' '''snura''', '''se''' '''xalni'''"
ckasu,"
'''ckasu''' — ''x<sub>1</sub><sub>(entity)</sub>''  mocks at  ''x<sub>2</sub><sub>(entity)</sub>''  about  ''x<sub>3</sub><sub>(property of x2)</sub>''  by doing  ''x<sub>4</sub><sub>(property of x1)</sub>'' 
:'''lo pendo pu ckasu mi lo ka cadzu tai ma kau vau lo ka cusku lo mabla''' — ''A friend mocked at the manner I walk by saying bad words.''
:Related words: '''cmila'''"
ckeji,"
'''ckeji''' — ''x<sub>1</sub><sub>(entity)</sub>''  feels ashamed, mortified about  ''x<sub>2</sub><sub>(clause)</sub>''  before audience  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo ckeji''' — ashamed. '''lo se ckeji''' — shameful event. 
:'''lo mi mamta pu ckeji lo nu mi tarti ma kau vau loi prenu''' — ''My mother was ashamed of my conduct in front of the crowd.''
:Related words: '''cinmo'''"
ckiku,"
'''ckiku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a key fitting lock  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo ckiku''' — key (of a lock). '''lo se ckiku''' — lock (of a key). 
:'''i ti ckiku lo xunre vorme i ma ckiku lo do jaspu''' — ''What is the password to your account?''
:'''mi mo'u cirko lo pe mi ckiku''' — ''I lost my keys.''
:Comment: x<sub>2</sub> can describe doors in the sense of entities that lock access.
:Related words: '''stela'''"
ckilu,"
'''ckilu''' — ''x<sub>1</sub><sub>(property of nonce place with '''kau''')</sub>''  is a scale of units for measuring  ''x<sub>2</sub><sub>(property of nonce place with '''kau''')</sub>'' 
:'''lo ckilu''' — scale. 
:'''lo ka mitre ma kau cu ckilu lo ka te sepli ma kau ma kau''' — ''Metric scale measures the distance between two points.''
:Related words: '''gradu''', '''merli''', '''cimde''', '''manri'''"
ckini,"
'''ckini''' — ''x<sub>1</sub><sub>(entity)</sub>''  is related to  ''x<sub>2</sub><sub>(entity)</sub>''  by relationship  ''x<sub>3</sub><sub>(relation between x1 and x2, contains two places for '''ce'u''')</sub>'' 
:'''lo ckini''' — related. '''lo te ckini''' — relationship. 
:'''mi na jimpe lo te ckini be lo panci bei lo se vecnu be fi do''' — ''I don't understand the relation between the smell and your purchase.''
:'''ti'e lo sance cu ckini lo barda mabru lo ka ce'u cupra ce'u fau lo nu ri pagre ti''' — ''They say the sound is related to a large mammal that produces it while passing here.''
:'''lo nu da'i mi pu zvati la Nipon cu ckini fi no da''' — ''The fact that I was in Japan is totally irrelevant.''
:Related words: '''ponse''', '''srana''', '''steci''', '''mapti''', '''sarxe''', '''fange'''"
ckire,"
'''ckire''' — ''x<sub>1</sub><sub>(entity)</sub>''  is grateful or thankful to  ''x<sub>2</sub><sub>(entity)</sub>''  for  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo ckire''' — thankful. '''lo te ckire''' — reason for gratitude. 
:'''mi ckire do lo ka sidju mi''' — ''Thank you for helping me.''
:'''ckire fi lo balvi''' — ''Thanks in advance.''
:Related words: '''cinmo''', '''friti''', '''pluka'''"
ckule,"
'''ckule''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a school serving at area  ''x<sub>2</sub><sub>(entity)</sub>'', teaching  ''x<sub>3</sub><sub>(proposition)</sub>''  to  ''x<sub>4</sub><sub>(entity)</sub>'' 
:'''lo ckule''' — school. '''lo te ckule''' — subject taught in a school. '''lo ve ckule''' — pupil of a school. 
:'''ti ckule lo bu'u gugde lo ve mikce lo citno tadni''' — ''This is a medical school serving in this area teaching therapy methods to young students.''
:'''mi ve ckule fi lo ralju''' — ''I'm in primary school.''
:Related words: '''cilre''', '''ctuca''', '''tadni'''"
ckunu,"
'''ckunu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a conifer of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo ckunu''' — conifer. 
:'''xu lo tsiju be lo vi ckunu cu kukte''' — ''Are pine nuts of this conifer tasty?''
:Related words: '''tricu'''"
cladu,"
'''cladu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is loud at observation point  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cladu''' — loud (producing loud sound). '''lo se cladu''' — loud place. 
:'''lo zgike cu cladu fe ji'a lo bu'u kumfa''' — ''The music is loud even when you are in this room.''
:Related words: '''tolycladu''', '''sance''', '''savru'''"
clani,"
'''clani''' — ''x<sub>1</sub><sub>(entity)</sub>''  is long in length/width etc.  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo clani''' — long. 
:'''i la Tom cu clani lo ka sraji''' — ''Tom is tall.''
:'''lo cmana cu clani''' — ''The mountain is high.''
:'''lo nu penmi pu clani lo ka se ditcu''' — ''The meeting was long.''
:Comment: the first largest dimension. '''ganra''', '''rotsu''' and '''clani''' specify the three dimensions of objects. '''clani''' can be used to describe 'tall' or 'high' (in the sense of vertical length). For lengthy time intervals '''barda''' is also used (choice depends on personal philosophy of the speaker).
:Related words: '''slabu''', '''condi''', '''ganra''', '''rotsu''', '''tordu''', '''barda''', '''ganra''', '''gutci''', '''minli''', '''rotsu'''"
claxu,"
'''claxu''' — ''x<sub>1</sub><sub>(entity)</sub>''  lacks  ''x<sub>2</sub><sub>(entity, property of x1)</sub>'' 
:'''lo claxu''' — deficient. 
:'''mi claxu lo ka djica lo ka citka''' — ''I lack the desire to eat.''
:'''si'au do claxu lo ka cinmo''' — ''Looks like you lack any emotions.''
:'''mi claxu lo penbi''' — ''I don't have a pen.''
:Related words: '''cau''', '''cirko''', '''kunti''', '''nitcu''', '''pindi''', '''banzu'''"
clika,"
'''clika''' — ''x<sub>1</sub><sub>(entity)</sub>''  is lichen or moss of species  ''x<sub>2</sub><sub>(taxon)</sub>''  growing on  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo clika''' — moss. 
:'''ti clika fi lo rokci''' — ''This is moss growing on rocks.''
:Related words: '''mledi'''"
clira,"
'''clira''' — ''x<sub>1</sub><sub>(clause)</sub>''  is early by standard  ''x<sub>2</sub><sub>(proposition)</sub>'' 
:'''lo clira''' — early event. 
:'''lo nu la Alis pu cliva lo briju cu clira lo sruma be mi''' — ''Alice leaving the office was early according to my assumption.''
:Related words: '''lerci'''"
clite,"
'''clite''' — ''x<sub>1</sub><sub>(entity)</sub>''  is polite in matter  ''x<sub>2</sub><sub>(property of x1)</sub>'' <sub>(clause)</sub>'' 
:'''lo clite''' — polite. '''lo se clite''' — polite behaviour. 
:'''do pu na clite lo ka cusku lo se du'u lo ctuca na drani''' — ''You wasn't polite in saying that the teacher isn't right.''
:Related words: '''ritli'''"
cliva,"
'''cliva''' — ''x<sub>1</sub><sub>(entity)</sub>''  leaves  ''x<sub>2</sub><sub>(entity, property of x1)</sub>''  via  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''ra pu cliva lo kumfa lo canko''' — ''He left the room via the window.''
:Related words: '''litru''', '''canci''', '''vimcu''', '''lebna''', '''muvdu'''"
clupa,"
'''clupa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a loop of material  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo clupa''' — loop. 
:'''ko jai se torni lo skori ja'e lo nu ri clupa''' — ''Twist the rope into a loop.''
:Related words: '''djine'''"
cmaci,"
'''cmaci''' — ''x<sub>1</sub><sub>(proposition)</sub>''  is mathematics describing  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cmaci''' — mathematics. '''lo se cmaci''' — field of mathematics. 
:'''mi tadni lo cmaci be lo klani''' — ''I study arithmetic (mathematics of quantity).''
:Related words: '''mekso'''"
cmalu,"
'''cmalu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is small in length/width etc.  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo cmalu''' — small. 
:'''lo nu penmi ba cmalu lo ka ditcu''' — ''The meeting will be short in duration.''
:'''lo cukta cu cmalu lo ka jai vajni''' — ''The book is of little importance.''
:Related words: '''caxno''', '''cinla''', '''jarki''', '''tordu''', '''barda'''"
cmana,"
'''cmana''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a mountain projecting from land-mass  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cmana''' — mountain. '''lo se cmana''' — land mass with a mountain. 
:'''so'i da cmana lo vi tumla''' — ''This land has a lot of mountains.''
:Related words: '''punli''', '''derxi'''"
cmavo,"
'''cmavo''' — ''x<sub>1</sub><sub>(text)</sub>''  is a grammatical particle of class  ''x<sub>2</sub><sub>(text)</sub>'' 
:'''lo cmavo''' — grammatical particle. '''lo se cmavo''' — selma'o. 
:'''zo ka cmavo ma'oi nu''' — '''''ka''' is a grammatical particle of class &quot;NU&quot; (clause prefix)''
:Comment: Usually '''ma'oi''' is used in x<sub>2</sub> to quote the name of selma'o (class of particles).
:Related words: '''gismu''', '''lujvo''', '''gerna''', '''smuni''', '''valsi'''"
